Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
9/12/2021 8:00,45357.03,46200,45301.1,46085.9,6737,309299563,251047,0.984184534,66.18379035
9/12/2021 12:00,46085.91,46270.56,45738,45886.99,5089,233975586,224464,1.004334998,-27.90934902
9/12/2021 16:00,45890.61,46146.89,45761.01,45902.87,3785,173823457,132334,0.999732914,-29.71766074
9/12/2021 20:00,45902.87,46460,44900,46025.24,8325,379311419,317794,0.997341241,78.03173845
9/13/2021 0:00,46025.23,46285.71,44555,44617.79,7722,349687024,237709,1.031544368,-8.131901641
9/13/2021 4:00,44614.68,44974.19,44174,44470.63,10989,490200342,301083,1.003239217,33.77756315
9/13/2021 8:00,44470.62,44915,44164.2,44859.24,7893,351334516,207935,0.991336902,-33.30753621
9/13/2021 12:00,44859.24,46880,43370,44361.31,27611,1237482651,617652,1.011224421,125.9095668
9/13/2021 16:00,44361.97,44813.55,44167.01,44741.66,5672,252341851,165396,0.991513726,-159.0049755
9/13/2021 20:00,44741.66,45500,44738.34,44940.73,5543,249621735,173737,0.995570388,-1.083800778
9/14/2021 0:00,44940.72,45363.93,44594.44,45186.85,4878,219872644,142307,0.994553061,-12.68982242
9/14/2021 4:00,45186.85,45881.6,45050.1,45720.02,5917,268851545,163837,0.988338369,20.11108621
9/14/2021 8:00,45720.03,46178.43,45678.01,45973.8,6091,279671851,168480,0.994480117,3.945760523
9/14/2021 12:00,45973.79,46950,45756.16,46754.42,14040,652827850,335070,0.983303611,84.76965099
9/14/2021 16:00,46754.43,46888.88,46331.01,46474.89,6409,298576176,193773,1.006014861,-78.22883689
9/14/2021 20:00,46474.89,47250,46376.99,47111.52,7521,352459453,206791,0.986486745,16.59104924
9/15/2021 0:00,47103.28,47470,46938.22,47075.48,6912,325880891,213561,1.000590541,-7.840363911
9/15/2021 4:00,47075.47,47221.54,46682.32,47172.84,5207,244609481,147592,0.997935889,-28.68689658
9/15/2021 8:00,47172.84,47699,47013,47560.74,8309,393484315,201628,0.991844113,47.53782231
9/15/2021 12:00,47560.74,48370.31,47282.79,48288,10872,520022903,268931,0.984939115,27.8831648
9/15/2021 16:00,48287.99,48429.87,47835.36,48075.44,6856,329929841,189620,1.004421176,-45.4992826
9/15/2021 20:00,48075.44,48500,47900,48121.41,5048,243068968,154718,0.999044708,-30.55348068
9/16/2021 0:00,48121.4,48192.06,47337.58,47615.08,6407,306228301,178445,1.010633606,23.09856835
